specimen,taxon,loco
MNHNA3872Chlorocebus_aethiops_sabaeus,Chlorocebus_aethiops,AQ/TQ
NMNH252701Chlorocebus_aethiops_aethiops,Chlorocebus_aethiops,AQ/TQ
NMNH399281Chlorocebus_aethiops_hilgerti,Chlorocebus_aethiops,AQ/TQ
NMNH452591Chlorocebus_aethiops,Chlorocebus_aethiops,AQ/TQ
NMNH452593Chlorocebus_aethiops_centralis,Chlorocebus_aethiops,AQ/TQ
NMNH452596Chlorocebus_aethiops_pygerythrus,Chlorocebus_aethiops,AQ/TQ
NMNH452601Chlorocebus_aethiops_pygerythrus,Chlorocebus_aethiops,AQ/TQ
AMNH27711Colobus_guereza_kikuyuensis,Colobus_guereza,AQ/Leap
AMNH52206Colobus_guereza_occidentalis,Colobus_guereza,AQ/Leap
AMNH52223Colobus_guereza_occidentalis,Colobus_guereza,AQ/Leap
AMNH52229Colobus_guereza_occidentalis,Colobus_guereza,AQ/Leap
AMNH52240Colobus_guereza_occidentalis,Colobus_guereza,AQ/Leap
AMNH52241Colobus_guereza_occidentalis,Colobus_guereza,AQ/Leap
AMNH99468Colobus_guereza_kikuyuensis,Colobus_guereza,AQ/Leap
AMNH187392Colobus_guereza_percivali,Colobus_guereza,AQ/Leap
BMNH72-138Colobus_guereza_matschiei,Colobus_guereza,AQ/Leap
BMNH72-139Colobus_guereza_matschiei,Colobus_guereza,AQ/Leap
BMNH72-151Colobus_guereza_uellensis,Colobus_guereza,AQ/Leap
BMNH72-152Colobus_guereza_uellensis,Colobus_guereza,AQ/Leap
BMNH72-153Colobus_guereza_uellensis,Colobus_guereza,AQ/Leap
MNHNA3842Colobus_abyssinicus,Colobus_guereza,AQ/Leap
MNHNA3844Colobus_abyssinicus,Colobus_guereza,AQ/Leap
NMNH452624Colobus_guereza_matschiei,Colobus_guereza,AQ/Leap
NMNH452630Colobus_guereza_matschiei,Colobus_guereza,AQ/Leap
NMNH452631Colobus_guereza_matschiei,Colobus_guereza,AQ/Leap
NMNH452632Colobus_guereza_matschiei,Colobus_guereza,AQ/Leap
NMNH452633Colobus_guereza_uellensis,Colobus_guereza,AQ/Leap
NMNH452634Colobus_guereza_matschiei,Colobus_guereza,AQ/Leap
NMNH452641Colobus_abyssinicus_abyssinicus,Colobus_guereza,AQ/Leap
NMNH452642Colobus_guereza_matschiei,Colobus_guereza,AQ/Leap
BMNH1888-2-18-2Daubentonia_madagascariensis,Daubentonia_madagascariensis,AQ
BMNH84-474Daubentonia_madagascariensis,Daubentonia_madagascariensis,AQ
MNHN1883-648Daubentonia_madagascariensis,Daubentonia_madagascariensis,AQ
MNHN1901-647Daubentonia_madagascariensis,Daubentonia_madagascariensis,AQ
MNHN1911-136Daubentonia_madagascariensis,Daubentonia_madagascariensis,AQ
MNHN1992-4Daubentonia_madagascariensis,Daubentonia_madagascariensis,AQ
MNHN2002-78Daubentonia_madagascariensis,Daubentonia_madagascariensis,AQ
MNHN2005-257Daubentonia_madagascariensis,Daubentonia_madagascariensis,AQ
AMNH34709Erythrocebus_patas_pyrrhonatus,Erythrocebus_patas,TQ
AMNH34712Erythrocebus_patas_pyrrhonatus,Erythrocebus_patas,TQ
AMNH34714Erythrocebus_patas_pyrrhonatus,Erythrocebus_patas,TQ
MNHN1886-270Erythrocebus_patas,Erythrocebus_patas,TQ
MNHN1996-2165Erythrocebus_patas,Erythrocebus_patas,TQ
AMNH170708Eulemur_fulvus_albifrons,Eulemur_fulvus_albifrons,AQ
